population,y,b,g
7869247,40,4016708,3852539
11149139,50,5715463,5433676
14994823,60,7895140,7099683
18193955,70,9479508,8714447
20605831,80,10640276,9965555
22405568,90,11441651,10963917
22876527,95,11591707,11284820
22958360,100,11645674,11579238
23037031,101,11673319,11642503
23119772,102,11684674,11688843
23162123,103,11697971,11735782
23224912,104,11712047,11780027
23315822,105,11719270,11820546
23373517,106,11719580,11851647
23433753,107,11712913,11876019
23492074,108,11705186,11897935
23539816,109,11673765,11887471
23571227,110,11578696,11796618
